"institutionCode","records"
"ECOCEAN",13
"Unisinos",13
"ASIZ",12
"Central Marine Fisheries Research Institute",12
"Georgia Department of Natural Resources",12
"NIO",12
"Sea Turtle Conservation Bonaire",12
"Tracking Sea Turtles in the Riviera Nayarit, Mexico.",12
"UCChile",12
"IOUSP",11
"LMU",11
"Ich",10
"Organización para la Sustentabilidad y Conservación del Medio Ambiente, AC",10
"QVMAG",10
"University of Glasgow",10
"Carcinologia Museu Nacional",9
"Center for Coastal Studies",9
"IGFA",9
"MArgentinoCN",9
"Sea Education Association",9
"UT",9
"WCI",9
"MNHN-SPN",8
"Seaturtle.org / UC Santa Cruz / MTRG",8
"Ugent; LUC",8
"UNC√≥rdoba",8
"Life Caretta caretta (Canary Islands)",7
"TA&MU",7
"Te Papa",7
"FSBC",6
"Hellenic Centre for Marine Research-Institute of Marine Biology, Biotechnology and Aquaculture",6
"Institute of Biology of Southern Seas, Ukraine Academy of Sciences",6
"MNZ",6
"NOR 1977",6
"Paolo Casale",6
"Phil Allman, Florida Gulf Coast University",6
"TGS",6
"Turtle Island Restoration Network",6
"UCR",6
"UFSC",6
"BOEM",5
"Grupo de trabajo para la tortuga carey (Mexico)",5
"IBUSP",5
"NOAA NMFS",5
"SAM",5
"SBMNH",5
"SEATURTLE.ORG",5
"UNESP",5
"AIM",4
"Barbara Schroeder",4
"Dragonfly Data Sciences",4
"Emirates Wildlife Society-WWF",4
"FISH",4
"FURG",4
"INOCAR_CO-II-01",4
"Marine Environmental Monitoring",4
"Marymount University and Hawksbill Hope in Belize",4
"NOAA Fisheries, Pacific Islands Fisheries Science Center",4
"PIFSC & Regional Office, Commonwealth of the Northern Mariana Islands Department of Lands & Natural Resources, Division of Fish & Wildlife",4
"Wageningen IMARES, Institute for Marine Resources and Ecosystem Studies",4
"WWF-Malaysia",4
"Biodiversity East / MTRG",3
"Diego Albareda-PRICTMA",3
"Doñana Biological Station (CSIC)-Universitat Politècnica de València",3
"INOCAR_CO-I-2009",3
"Marine Research Foundation - Marine Turtle Programme",3
"MGC",3
"MMNS",3
"MuseuHNChile",3
"NBDC",3
"NEMA/IBAMA",3
"NOAA Southwest Fisheries Science Center",3
"Pendoley Environmental",3
"Udayana University & WWF Indonesia",3
"USF",3
"World Wildlife Fund",3
"WSA_OBIS_01",3
"ZMB",3
"Cayman Islands Department of Environment",2
"CEQUA",2
"CLO",2
"CONICET",2
"CRIC&T",2
"Fondazione Cetacea",2
"Marine Resources Research Institute, SCDNR",2
"NMNH",2
"NOAA, NMFS, Northeast Fisheries Science Center",2
"OSUM",2
"OSUO",2
"Queensland Turtle Conservation Project - Col Limpus & Aubrey Strydom",2
"SEAOBIS",2
"South Australian Research and Development Institute",2
"TZM",2
"UAMZ",2
"Yonat Swimmer",2
"AHF",1
"Aubrey Strydom",1
"BOL",1
"CADIC",1
"Dekamer",1
"Fisheries and Oceans Canada (ISDM)",1
"FURGS",1
"HUMZ",1
"IB-USP",1
"IBJubarte",1
"iNaturalist",1
"INVEMAR",1
"IORAS",1
"Islameta Group - Department of Biology, University of Pisa",1
"Islameta Group, University of Pisa",1
"MEDASSET",1
"MNHNC",1
"MNHNChile",1
"MNRJ",1
"MOVI",1
"MRF",1
"MTQ",1
"Museum Stockholm, Sweden",1
"National Marine Life Center",1
"NCIP",1
"NMSZ",1
"North Carolina Renewable Ocean Energy Program",1
"NSCMB FEBRAS",1
"OSNZ",1
"PSJ_JAB",1
"PUJ",1
"Red Tortuguera A.C.",1
"SUM",1
"The Years of the North Atlantic Humpback whale",1
"UCM",1
"UERJ",1
"UnChile",1
"UNISC",1
"UNMexi",1
"USBCF",1
"UST",1
"WWF Indonesia",1
"Yayasan Pulau Banyak",1
"ZMA",1
"ZMMGU",1
"ZMMSU",1
"ZMMU",1
