"id","name","country","records"
19312,"Western Australian Museum","Australia",105
19304,"Florida Museum of Natural History","United States of America",94
19306,"Göteborgs naturhistoriska museum","Sweden",91
19490,"Envirosphere Consultants Ltd","Canada",90
19565,"Louisiana State University – Department of Oceanography and Coastal Sciences","United States of America",82
19338,"World Whaling History","United States of America",77
19296,"Institut für Polarökologie der Christian-Albrechts-Universität","Germany",72
19595,"Hartpury College — Department of Animal and Land Science","United Kingdom of Great Britain and Northern Ireland",72
16737,"Koninklijk Belgisch Instituut voor Natuurwetenschappen, OD Natuurlijk Milieu, Oostende","Belgium",70
15650,"University of Auckland","New Zealand",67
19195,"ARTOO Marine Biology Consultants","United Kingdom of Great Britain and Northern Ireland",67
13293,"Dauphin Island Sea Lab/University of South Alabama","United States of America",66
19544,"Nova Scotia Museum","Canada",65
18052,"The University of Tokyo, Atmosphere and Ocean Research Institute","Japan",52
13678,"Uni Research","Norway",49
5583,"Columbia University","United States of America",45
13818,"Oregon State University","United States of America",45
20862,"Cascadia Research","United States of America",45
19431,"Tasmanian Museum and Art Gallery – Collections and Research Facility","Australia",44
19524,"P. P. Shirshov Institute of Oceanology – Laboratory of plankton communities structure and dynamics","Russian Federation",40
7656,"Koninklijk Nederlands Instituut voor Onderzoek der Zee","Netherlands",39
20836,"Bangladesh Sea Turtle Satellite Tracking Project","Bangladesh",38
19272,"Auckland War Memorial Museum","New Zealand",37
19280,"California Academy of Sciences - Department of Ichthyology","United States of America",36
20838,"CSIRO-Bardi Jawi Turtle Tracking","Australia",34
19360,"U.S. Geological Survey – Alaska Science Center","United States of America",29
19178,"eOceans Research and Consulting","Canada",28
19634,"Southwestern Pacific OBIS Node","New Zealand",28
20849,"University of Southern Maine","United States of America",27
20842,"BCCM/ULC culture collection at the University of Liège","Belgium",24
96,"Australian Institute of Marine Science, Townsville","Australia",23
5684,"Council for Scientific and Industrial Research, Stellenbosch","South Africa",20
12097,"Rhodes University","South Africa",20
20874,"The Marine Mammal Laboratory","United States of America",20
20861,"Carl von Ossietzky University of Oldenburg","Germany",19
19492,"Museum of New Zealand Te Papa Tongarewa","New Zealand",18
9605,"Wildlife Conservation Society","United States of America",17
5170,"Brown University, Department of Ecology and Evolutionary Biology","United States of America",16
9456,"University of Washington, School of Aquatic & Fishery Sciences","United States of America",16
16706,"Duke University, Department of Biology","United States of America",16
18917,"Danmarks Tekniske Universitet ","Denmark",16
19302,"University of New Mexico - Department of Biology","United States of America",16
19391,"University of North Carolina Wilmington – Department of Biology and Marine Biology","United States of America",16
19452,"Blackbeard Biologic – Science and Environmental Advisors","United States of America",16
19504,"Santa Barbara Museum of Natural History — Department of Invertebrate Zoology","United States of America",16
19558,"Royal British Columbia Museum – Natural History Section","Canada",16
19594,"Marine Megafauna Foundation","United States of America",16
19606,"Georgia Aquarium","United States of America",16
19409,"Muséum National d'Histoire Naturelle – Département Milieux et Peuplements Aquatiques (UMR BOREA 7208)","France",15
19620,"Muséum national d’Histoire naturelle — Département Systématique et Évolution (UMR 7205)","France",15
11723,"Comisión Permanente para el Pacífico Sur","Ecuador",13
18873,"KU Leuven - Laboratory of Biodiversity and Evolutionary Genomics","Belgium",12
20778,"Biodiversity Research Centre, Academia Sinica","China",12
15748,"Dalhousie University, Department of Oceanography","Canada",11
19465,"Queen's University – Department of Biology","Canada",11
18229,"CSIRO Oceans and Atmosphere Information and Data Centre, Hobart","Australia",10
19536,"Sea Education Association","United States of America",9
11578,"Kenya Marine and Fisheries Research Institute","Kenya",8
19279,"Biosphere Expeditions","United Kingdom of Great Britain and Northern Ireland",7
19506,"Texas A&M University — Department of Wildlife and Fisheries","United States of America",7
6715,"Hellenic Centre for Marine Research - Institute of Marine Biology, Biotechnology and Aquaculture","Greece",6
20808,"ASRC Energy Services","United States of America",6
5374,"Centro Austral de Investigaciones Científicas","Argentina",5
7979,"Plymouth Marine Laboratory","United Kingdom of Great Britain and Northern Ireland",5
13402,"University of Tasmania, Institute for Marine and Antarctic Studies","Australia",5
20855,"Bureau of Safety and Environmental Enforcement","United States of America",5
19485,"Dragonfly Data Science","New Zealand",4
19591," The Marine Environment Monitoring and Assessment National database","United Kingdom of Great Britain and Northern Ireland",4
19622,"National Biodiversity Network Trust","United Kingdom of Great Britain and Northern Ireland",4
17805,"UNESCO-IOC","France",3
18092,"Pusat Penelitian Oseanografi. Lemabga Ilmu Pengetahuan Indonesia","Indonesia",3
19295,"Christian-Albrechts-University Kiel Zoologisches Museum ","Germany",3
19590," National Biodiversity Data Centre","Ireland",3
7541,"National Marine Fisheries Service, Northeast Fisheries Science Center, Massachusetts","United States of America",2
15961,"ASEAN Centre for Biodiversity","Philippines",2
17611,"Smithsonian Institution","United States of America",1
18300,"Instituto de Investigaciones Marinas y Costeras ""José Benito Vives de Andreis""","Colombia",1
19438,"Ornithological Society of New Zealand","New Zealand",1
19561,"iNaturalist NZ","New Zealand",1
19629,"Plankton Society of Japan","Japan",1
20806,"Arizona State University","United States of America",1
20903,"Deniz Kaplumbagalari Arastirma Merkezi","Turkey",1
