"organization","records","datasets"
"Natural History Section, Royal British Columbia Museum",16,1
"School of Aquatic &amp; Fishery Sciences, University of Washington",16,1
"Technical University of Denmark",16,1
"CENPAT-CONICET",15,2
"CNRS Biogeosciences UMR 6282",15,1
"Government of Canada; Department of Fisheries and Oceans",15,1
"MNHN Département Milieux et Peuplements Aquatiques, UMR BOREA 7208",15,1
"Muséum national d’Histoire naturelle, Département Systématique et Évolution, UMR ISYEB 7205",15,1
"Tree Foundation",15,1
"UMR 6282 Biogéosciences, Univ. Bourgogne Franche-Comté, CNRS",15,1
"ECOCEAN USA",13,1
"National Marine Aquarium",13,1
"Tracking Sea Turtles in the Riviera Nayarit, Mexico.",13,2
"Academia Sinica Biodiversity Research Centre",12,1
"Fish Genetics and Biotechnology Division, Central Institute of Freshwater Aquaculture",12,1
"Georgia Department of Natural Resources",12,1
"KU Biodiversity Institute",12,1
"National Institute of Oceanography; Biological Oceanography",12,1
"Sea Turtle Conservation Bonaire",12,1
"Dept. of Biology, Queen’s University",11,1
"Dept. of Oceanography, Dalhousie University",11,1
"Marine Biological Association of the UK The Archive for Marine Species and Habitats Data (MBA-DASSH)",11,1
"Marine Conservation Society (MCS)",11,1
"University of Liverpool",11,1
"BOLD",10,1
"CSIRO Oceans and Atmosphere, Information and Data Centre",10,1
"National Museum of Natural History",10,1
"Organización para la Sustentabilidad y Conservación del Medio Ambiente",10,1
"Queen Victoria Museum and Art Gallery",10,2
"Provincetown Center for Coastal Studies",9,2
"Sea Education Associaton",9,1
"Kenya Marine and Fisheries Research Institute Mombasa Centre (KMFRI)",8,1
"National Natural History Museum Paris Service du Patrimoine naturel (MNHN-SPN)",8,1
"Perth Cultural Centre",8,1
"Université de La Rochelle Observatoire Pelagis (UMS 3462)",8,1
"Universiteit Gent; Faculteit Wetenschappen Vakgroep Biologie (UGent)",8,1
"Universiteit Hasselt; Centre for Environmental Sciences; Onderzoeksgroep Dierkunde: Biodiversiteit en Toxicologie (CMKDK)",8,1
"Biosphere Expeditions",7,2
"Department of Wildlife and Fisheries",7,1
"USGS Greater Everglades Sea Turtles",7,1
"ASRC Energy Services, Inc.",6,2
"Florida Gulf Coast University",6,1
"Hellenic Centre for Marine Research - Institute of Marine Biology, Biotechnology and Aquaculture",6,1
"MarAlliance - Sharks and Rays Program",6,1
"PRETOMA and Turtle Island Restoration Network",6,1
"TGS-NOPEC Geophysical Company",6,2
"University of Costa Rica; Department of Biology Museum of Zoology",6,1
"University of Costa Rica; Department of Biology; Museum of Zoology",6,1
"Wildlife Division of Forestry Commission",6,1
"WWF Italy's Sea Turtle Network",6,2
"Bureau of Safety and Environmental Enforcement",5,1
"CADIC-CONICET",5,1
"Grupo de trabajo para la tortuga carey (Mexico)",5,1
"Institute for Marine and Antarctic Studies (IMAS), University of Tasmania (UTAS)dvanced Studies, Charles Darwin University (CDU)",5,1
"National Environment Research Council",5,1
"Plymouth Marine Laboratory (PML)",5,1
"University of Dundee",5,1
"Department of Lands &amp; Natural Resources, Division of Fish &amp; Wildlife, Sea Turtle Program",4,1
"Dragonfly Data Science",4,1
"Emirates Wildlife Society WWF - Marine Research Foundation",4,2
"Marine Environmental Monitoring",4,1
"Marine Research Foundation",4,2
"Marymount University and Hawksbill Hope in Belize",4,1
"National Biodiversity Network Trust (NBN)",4,1
"NMFS Office of Protected Resources",4,1
"Udayana University - WWF Joint Program",4,2
"Wageningen IMARES, Institute for Marine Resources and Ecosystem Studies",4,1
"WWF-Malaysia",4,1
"ARCHELON (2004-2007)",3,1
"Aubrey Strydom",3,2
"Cawthron Institute",3,1
"Centro Oceanografico de Vigo, Instituto Espanol de Oceanografia",3,1
"Christian-Albrechts-University Kiel Zoologisches Museum (CAU)",3,1
"CSS, Inc.",3,1
"FEMM",3,1
"IOC-UNESCO",3,1
"Kochi University, Laboratory of Aquatic Environmental Science",3,1
"Laboratoire des Micro-algues Toxiques, Institut Louis Malarde",3,1
"National Biodiversity Data Centre",3,2
"NOAA, National Ocean Service",3,1
"non- profit organization",3,1
"Ocean Tester, LLC",3,1
"Regional Program for Sea Turtle Research and Conservation of Argentina (PRICTMA)",3,1
"Research Center for Oceanography",3,1
"Smithsonian Institution",3,1
"University of Málaga; Faculty of Sciences Departamento de Biología Vegetal",3,1
"WWF Canada/LAC",3,1
"ASEAN Centre for Biodiversity",2,2
"Cornell Lab of Ornithology",2,1
"CSIRO National Collections and Marine Infrastructure Data Centre",2,1
"Federal Government of the United States of America; Department of Commerce; National Oceanic and Atmospheric Administration; National Marine Fisheries Service; Northeast Fisheries Science Center (NEFSC)",2,1
"Fur seal, pelagic shark and seabird tracking",2,1
"Islameta Group, Dept. of Biology - University of Pisa",2,2
"Klaipeda University Marine research institute",2,1
"National Oceanic and Atmospheric Administration; National Marine Fisheries Service Northeast Fisheries Science Center (NOAA-NEFSC)",2,1
"South Carolina Department of Natural Resources; Marine Resources Research Institute Southeastern Regional Taxonomic Center (SCDNR-SERTC)",2,1
"Troy University",2,1
"Arizona State University",1,1
"DEKAMER-DENIZ KAPLUMBAGALARI ARASTIRMA MERKEZI (SEA TURTLE RESEARCH CENTER)",1,1
"Marine and Coastal Management Department of Environmental Affairs and Tourism",1,1
"Mediterranean Association to Save the Sea Turtles MEDASSET",1,1
"Milwaukee Public Museum",1,1
"National Marine Life Center",1,1
"NatureWatch NZ",1,1
"North Carolina Renewable Ocean Energy Program",1,1
"Smithsonian Institute",1,1
"The Ornithological Society of New Zealand",1,1
"The Plankton Society of Japan, The Japanese Association of Benthology",1,1
"Universidad Nacional de Colombia Marine and Coastal Research Institute ""Jose Benito Vives De Andréis"" (INVEMAR)",1,1
"Universidad Nacional de Colombia; Marine and Coastal Research Institute ""Jose Benito Vives De Andréis"" (INVEMAR)",1,1
"University of Cape Town Botany Department",1,1
"University of Cape Town; Botany Department",1,1
"University of Gothenburg; Faculty of Science Department of Biological and Environmental Sciences",1,1
"Yayasan Pulau Banyak, Aceh, Indonesia",1,1
