"organization","records","datasets"
"Data Management Group, JAMSTEC",1444,1
"Université Libre de Bruxelles; Faculté des Sciences; Département de Biologie des Organismes; Centre Interuniversitaire de Biologie Marine (ULB - UMH); Unité de Biologie Marine (BIOMAR)",1429,2
"United Nations Environment Programme World Conservation Monitoring Centre (UNEP-UNEP-WCMC)",1408,1
"University of Plymouth (UOP)",1408,1
"Université de Bourgogne; Biogéosciences",1382,1
"Russian Academy of Sciences P. P. Shirshov Institute of Oceanology (RAS-SIO RAS)",1381,14
"Census of Marine Life (COML)",1350,1
"University of Southampton; National Oceanography Centre School of Ocean and Earth Science (SOTON-SOES)",1350,1
"Universiteit Hasselt; Faculteit Wetenschappen; Vakgroep Biologie en Geologie; Centrum voor Milieukunde Onderzoeksgroep Dierkunde: Biodiversiteit en Toxicologie (Uhasselt-CMKDK)",1331,1
"Vrije Universiteit Brussel Fundamental and Applied Marine Ecology Post Graduate Program (VUB-FAME)",1331,1
"UNIVERSIDAD SIMÓN BOLÍVAR",1296,1
"Joint Nature Conservation Committee",1279,1
"Centre for Marine Living Resources &amp; Ecology",1277,16
"Australian National University",1261,1
"Indiana University of Pennsylvania",1261,1
"Vrije Universiteit Brussel",1261,2
"NOAA Pacific Islands Fisheries Science Center",1260,2
"EMC2",1195,1
"KULeuven",1195,1
"Ocean Expeditions",1195,1
"Université de Bourgogne Franche Comté",1195,1
"Université Libre De Bruxelles",1195,1
"Universiteit Gent",1195,1
"Universiteit Gent; Faculteit Wetenschappen; Vakgroep Biologie; Afdeling Nematologie",1176,2
"Belgian Science Policy (BELSPO)",1168,1
"Bioconsult Schuchardt &amp; Scholle Gbr",1168,1
"Commonwealth Scientific &amp; Industrial Research Organisation (CSIRO)",1168,1
"Landcare Research",1168,1
"Lomonosov Moscow State University (MSU)",1168,1
"National Institute of Water and Atmospheric Research (NIWA)",1168,1
"Russian Academy of Sciences; P. P. Shirshov Institute of Oceanology (SIO RAS)",1168,1
"Universidade Federal do Pará",1168,1
"Universität Salzburg",1168,1
"Universiteit Gent; Faculteit Wetenschappen; Vakgroep Biologie; Onderzoeksgroep Mariene Biologie (MARBIOL)",1168,1
"University of Jaén; Faculty of Experimental Sciences; Department of Animal Biology, Vegetal Biology and Ecology",1168,1
"University of Texas at San Antonio (UTSA)",1168,1
"Columbia University Lamont-Doherty Earth Observatory",1130,1
"The University of Queensland",1106,1
"Institute of Marine Research (IMAR)",1104,15
"University of the Azores Department of Oceanography and Fisheries (UAC-DOP)",1104,15
"Alfred Wegener Institute Hemholtz Centre for Polar and Marine Research",1075,1
"Institute for Ecosystem Research of Kiel University",1075,1
"Landesamt für Landwirtschaft, Umwelt und ländliche Räume",1075,1
"National University of Ireland; Martin Ryan Marine Science Institute; Department of Zoology",1074,1
"/",1057,1
"Royal Belgian Institute for Natural Sceinces",1057,1
"Université Pierre et Marie Curie and Centre National de la Recherche Scientifique (CNRS)",1057,1
"South Australian Museum",1046,6
"Marine Institute Ireland (MI)",1023,1
"Kingston",1021,1
"Spanish Council for Scientific Research Institute of Marine Sciences (CSIC-ICM)",969,2
"University of California, Santa Cruz; Biology Departement",958,1
"University of British Columbia; Aquatic Ecosystems Research Laboratory",953,1
"Department of Physical, Earth and Environmental Sciences, University of Siena, Siena, Italy &amp; Italian National Antarctic Museum (MNA, Section of Genoa)",948,2
"Columbia University; Lamont-Doherty Earth Observatory",940,1
"Italian National Antarctic Museum (MNA, Section of Genoa)",844,3
"Department of Earth, Environmental and Life Sciences (DISTAV)",812,1
"DISTAV - University of Genoa &amp; Italian National Antarctic Museum (MNA)",812,1
"Canadian Museum of Nature",801,2
"Department of Plankton",780,1
"Natural History Museum",768,2
"UNESCO",756,1
"University of Glasgow",756,1
"Universidade Federal do Rio de Janeiro",750,1
"BrachNet",736,1
"Migration and foraging ecology of Greater Shearwater",720,1
"U.S. Geological Survey, Patuxent Wildlife Research Center",692,1
"The Sir Alister Hardy Foundation for Ocean Science (SAHFOS)",685,1
"Muséum national d’Histoire naturelle",678,2
"Aquarium de Paris - Cinéaqua",663,1
"Muséum National d'Histoire Naturelle, Station de Biologie  Marine, 29182",663,1
"Université Libre de Bruxelles, Marine Biology Department",663,1
"University of Liege, Laboratory of Oceanology",663,1
"Center for Coastal and Ocean Mapping, University of New Hampshire",658,1
"Universidad de Concepción Centre for Oceanographic Research in the eastern South Pacific (COPAS)",651,1
"Biocentre Grindel and Zoological Museum",641,1
"La Trobe Institute for Molecular Science",641,1
"Geomarine Research",635,1
"University of Genova; Facoltà di Scienze Matematiche Fisiche e Naturali; Dipartimento per lo Studio del Territorio e delle sue Risorse",634,1
"Tasmanian Museum and Art Gallery",614,3
"University of Lodz; Dept. Invertebrate Zoology &amp; Hydrobiology; Laboratory of Polar Biology and Oceanobiology",610,4
"Institute of Marine Research Marine Mammals Research Group (IMR)",609,1
"University of Alaska Fairbanks; School of Fisheries and Ocean Sciences",588,6
"Smithsonian Tropical Research Institute",575,1
"Earthwatch Australia",574,1
"Southern Cross University",574,1
"Queensland Museum",569,9
"National Chemical Laboratory; Information Division",563,1
"Marine Turtle Research Group",556,8
"Italian National Antarctic Museum (MNA), Section of Genoa",535,1
"National Research Council of Italy, Water Research Institute (CNR-IRSA)",535,1
"Marine Research Institute Iceland (MRI)",533,1
"University of Exeter",530,3
"Russian Academy of Sciences",522,1
"South Australian Museum; Department of Invertebrates",517,1
"Alfred Wegener Institute",516,1
"Monash University",516,1
"University of Alabama at Birmingham",516,1
"South African Institute for Aquatic Biodiversity (SAIAB)",485,1
"Fraunhofer AICOS",484,1
"Spanish Council for Scientific Research Instituto de Investigaciones Marinas de Vigo (CSIC-IIM)",484,1
"University of Algarve; Faculty of Marine and Environmental Sciences Centre of Marine Sciences (UALG-CCMAR)",484,1
"University of Porto Interdisciplinary Centre for Marine and Environmental Research (Porto) (CIIMAR)",484,1
"University of Rhode Island",466,3
"Government of Canada; Department of Fisheries and Oceans Bedford Institute of Oceanography (DFO-BIO)",458,4
"Bureau of Rural Sciences",450,1
"Koninklijk Belgisch Instituut voor Natuurwetenschappen; Departement Invertebraten",450,1
"Russian Academy of Sciences Zoological Institute of RAS (RAS-ZIN)",449,4
"Stellwagen",443,1
"Australasian Seabird Group, Birdlife Australia",433,1
"Marine Biology Research Group, Ghent University",420,1
"Italian National Museum (MNA, Section of Genoa)",397,1
"Italian National Research Council",397,1
"UkrSCES",379,2
"Department of Earth, Environmental and Life Science (DISTAV, Genoa, Italy) Italian National Antarctic Museum (MNA, Section of Genoa)",374,1
"Department of Geosciences, University of Padova, Italy",374,1
"Department of Physical, Earth and Environmental Sciences, University of siena, Italy &amp; Italian National Antarctic Museum (MNA, Section of Genoa)",374,1
"Dominica Sea Turtle Conservation Organization",374,2
"Italian National Antarcrtic Museum",374,1
"Italian National Antarctic Museum",374,1
"Australian Institute of Marine Science",363,2
"University of Tasmania",363,2
"Department of Earth, Environmental and Life Sciences (DISTAV) &amp; Italian National Antarctic Museum (MNA, Section of Genoa)",353,2
"LGL Limited - Environmental Research Associates",345,1
"National Science Foundation",345,1
"University of Colorado Museum of Natural History",345,1
"NOAA Northeast Fisheries Science Center",340,6
"Fundacion Oceanografic",334,2
"ACE CRC and IMAS University of Tasmania",333,1
"Sea Mammal Research Unit, Scottish Oceans Institute, University of St. Andrews",331,2
"Kate Arnold",329,1
